Other,Other,2000,01701,Student           
Ford,Taurus,2008,01701,Faculty Full-Time 
Honda,Fit,2011,01701,Staff-Exempt FT   
Ford,Explorer,2014,01701,Staff-Exempt FT   
Chevrolet,Equinox,2013,01701,Staff-Exempt FT   
Chevrolet,Cruze,2014,01701,Faculty Part-time 
Acura,TSX,2009,01701,Staff-Exempt FT   
Subaru,Impreza,2006,01701,Faculty Full-Time 
Ford,F-150,2001,01701,Staff-NonExempt FT
Toyota,Highlander,2008,01701,Faculty Full-Time 
Chevrolet,Avalanche,2009,01701,Staff-NonExempt FT
Chevrolet,Volt,2017,01701,Faculty Full-Time 
Toyota,Camry,2012,01701,Staff-Exempt FT   
Saab,9-2X,2005,01701,Staff-Exempt FT   
Honda,Accord,2011,01701,Staff-NonExempt FT
Subaru,Forester,2013,01701,Staff-Exempt FT   
Pontiac,G6,2007,01701,Faculty Full-Time 
Toyota,RAV-4,2016,01701,Faculty Full-Time 
Honda,Civic,2015,01701,Faculty Part-time 
Nissan,Altima,2007,01701,Faculty Part-time 
Toyota,Camry,2009,01702,Staff-Exempt FT   
Honda,Pilot,2014,01702,Staff-NonExempt FT
Ford,F-150,2004,01702,Faculty Full-Time 
Toyota,Camry,2009,01702,Staff-Exempt FT   
Ford,Focus,2010,01702,Staff-Exempt FT   
Mercedes Benz,E-Class,2010,01702,Faculty Full-Time 
Dodge,Durango,2006,01702,Faculty Full-Time 
Honda,CR-V,2015,01702,Staff-Exempt FT   
Subaru,Forester,2004,01702,Faculty Full-Time 
Toyota,RAV-4,2011,01702,Faculty Full-Time 
Toyota,Prius,2015,01702,Faculty Full-Time 
Honda,Accord,2003,01702,Faculty Full-Time 
Ford,Windstar,2003,01702,Staff-Exempt FT   
Toyota,Tacoma,2009,01719,Staff-Exempt FT   
Dodge,Durango,2003,01719,Faculty Full-Time 
Toyota,Prius,2010,01719,Staff-Exempt FT   
Mini Cooper,Cooper,2010,01720,Staff-Exempt FT   
Mazda,Mazda 3,2016,01720,Faculty Full-Time 
Toyota,Highlander,2006,01720,Faculty Full-Time 
Toyota,Prius,2005,01720,Faculty Full-Time 
Honda,CR-V,2016,01720,Faculty Full-Time 
Toyota,Prius,2012,01720,Staff-Exempt FT   
Lincoln,MKS,2010,01720,Faculty Full-Time 
Honda,Civic,2014,01720,Staff-Exempt FT   
Volkswagen,Golf,2015,01720,Faculty Full-Time 
Toyota,Prius,2013,01720,Staff-Exempt FT   
Honda,Fit,2016,01720,Faculty Full-Time 
Toyota,Highlander,2017,01720,Faculty Full-Time 
