group,lower_error,metric,upper_error
crc_employee,232323.5159024927,293284.95775137964,30418032.1381729
med_employee,76693.42476176027,78234.68069463971,282300.71205559786
crc_student,31569.861926449878,42668.57222256328,475060.06019568024
med_student,7444.273775776837,7863.669481454405,16066.229709888683
